n,S,regime,rep,delta,score,baseline,baseline_candidates,secondary_value,best,candidates,true_ll,best_minus_true,true_rank
8,40,moderate,0,0.0,activity,-304.12942219764744,12,7.000000000000002,-313.6154606175867,9,-291.7790510519478,-21.83640956563886,9999
8,40,moderate,0,2.0,activity,-304.12942219764744,12,7.0,-313.6154606175867,9,-291.7790510519478,-21.83640956563886,9999
8,40,moderate,0,0.0,sqrt_activity,-310.1738506400182,9,7.0,-313.6154606175867,9,-291.7790510519478,-21.83640956563886,9999
8,40,moderate,0,2.0,sqrt_activity,-304.12942219764744,12,7.0,-313.6154606175867,9,-291.7790510519478,-21.83640956563886,9999
8,40,moderate,0,0.0,uniform_activity,-310.1738506400182,9,7.0,-313.6154606175867,9,-291.7790510519478,-21.83640956563886,9999
8,40,moderate,0,2.0,uniform_activity,-304.12942219764744,12,7.0,-299.7548110210835,16,-291.7790510519478,-7.975759969135709,9999
8,40,wide,0,0.0,activity,-295.6120190586375,14,6.133317957161923,-295.6120412619487,12,-294.9990969723718,-0.6129442895769444,9999
