n,S,regime,rep,mode,delta,anchors,facets,size_weight,lp_score,primary_build_s,primary_solve_s,baseline_best,baseline_candidates,baseline_true_rank,local_score,couple_build_s,couple_solve_s,couple_wall_s,best_logL,best_structural_rank,best_bottleneck,candidates,true_rank,true_logL,best_minus_true,anchor_ids,variables,rows,qvars,cache_classes
8,40,moderate,0,two-point,2.0,8,4,equal,-221.88710412520362,0.2928199768066406,0.41033411026000977,-313.2878247540923,5,9999,5.965316145623987,0.11766672134399414,0.8029873371124268,0.8057477474212646,-303.75936942175343,19,0.04491584481964134,20,9999,-291.7790510519478,-11.980318369805616,"[1, 20, 28, 4, 10, 35, 15, 29]",176,880,176,128
8,40,moderate,1,two-point,2.0,8,4,equal,-205.9003157480018,0.2244246006011963,0.3200414180755615,-309.7574981514878,9,9999,6.5305305038298265,0.12450075149536133,0.36826610565185547,0.3707773685455322,-294.9180360334099,11,0.12709974153929687,20,9999,-282.18239733730286,-12.73563869610706,"[4, 5, 10, 6, 7, 25, 9, 8]",176,880,176,128
8,40,wide,0,two-point,2.0,8,4,equal,,,-267.07060893525295,0.38277339935302734,0.42698073387145996,-296.2883070817008,20,9999,6.160236383973042,0.15276765823364258,0.5313985347747803,0.534489631652832,-295.4107689569037,2,0.42787621350066457,20,9999,-294.9990969723718,-0.4116719845319494,"[1, 10, 13, 18, 20, 11, 32, 25]",176,880,176,128
