n,S,rep,regime,delta,weight,kind,tref,spread,alpha,lp_score,secondary_score,build_s,primary_solve_s,score_build_s,secondary_solve_s,baseline_best,best_logL,true_logL,best_minus_true,candidates,true_rank,score_vars,score_rows,anchors,baseline
8,40,0,moderate,2.0,equal,single,0.1,2,0.0,-103.59623994129535,0.06985514747802196,1.8709757328033447,0.8259868621826172,0.016318559646606445,1.0840048789978027,-304.12942219764744,-304.12942219764744,-291.7790510519478,-12.350371145699626,12,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,equal,single,0.1,2,0.5,-103.59623994129535,0.06985514747802196,1.8709757328033447,0.8259868621826172,0.016318559646606445,1.0840048789978027,-304.12942219764744,-315.7359807816633,-291.7790510519478,-23.956929729715455,25,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,equal,single,0.1,2,1.0,-103.59623994129535,0.06985514747802196,1.8709757328033447,0.8259868621826172,0.016318559646606445,1.0840048789978027,-304.12942219764744,-311.94620410029074,-291.7790510519478,-20.167153048342925,4,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,inverse_flow,single,0.1,2,0.0,-103.59623994129537,0.026449310296523792,1.558300256729126,0.6545956134796143,0.01648569107055664,1.2670176029205322,-304.12942219764744,-304.12942219764744,-291.7790510519478,-12.350371145699626,12,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,inverse_flow,single,0.1,2,0.5,-103.59623994129537,0.026449310296523792,1.558300256729126,0.6545956134796143,0.01648569107055664,1.2670176029205322,-304.12942219764744,-312.2267183678102,-291.7790510519478,-20.44766731586236,25,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,inverse_flow,single,0.1,2,1.0,-103.59623994129537,0.026449310296523792,1.558300256729126,0.6545956134796143,0.01648569107055664,1.2670176029205322,-304.12942219764744,-296.0458543230886,-291.7790510519478,-4.266803271140759,11,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,sqrt_inverse,single,0.1,2,0.0,-103.59623994129535,0.04189542505332092,1.714106559753418,0.8244047164916992,0.027710914611816406,1.1950781345367432,-304.12942219764744,-304.12942219764744,-291.7790510519478,-12.350371145699626,12,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,sqrt_inverse,single,0.1,2,0.5,-103.59623994129535,0.04189542505332092,1.714106559753418,0.8244047164916992,0.027710914611816406,1.1950781345367432,-304.12942219764744,-311.1409498041563,-291.7790510519478,-19.361898752208504,25,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,sqrt_inverse,single,0.1,2,1.0,-103.59623994129535,0.04189542505332092,1.714106559753418,0.8244047164916992,0.027710914611816406,1.1950781345367432,-304.12942219764744,-310.27041928815294,-291.7790510519478,-18.49136823620512,11,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,flow_capacity,single,0.1,2,0.0,-103.59623994129537,0.05067775521502131,2.1060631275177,0.858623743057251,0.01882171630859375,1.0159120559692383,-304.12942219764744,-304.12942219764744,-291.7790510519478,-12.350371145699626,12,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,flow_capacity,single,0.1,2,0.5,-103.59623994129537,0.05067775521502131,2.1060631275177,0.858623743057251,0.01882171630859375,1.0159120559692383,-304.12942219764744,-304.12942219764744,-291.7790510519478,-12.350371145699626,25,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,flow_capacity,single,0.1,2,1.0,-103.59623994129537,0.05067775521502131,2.1060631275177,0.858623743057251,0.01882171630859375,1.0159120559692383,-304.12942219764744,-314.3248186376788,-291.7790510519478,-22.54576758573097,25,9999,704,1408,8,0.25835230122294667
