n,S,rep,regime,T,delta,weight,alpha,lp_score,secondary_score,build_s,primary_solve_s,score_build_s,secondary_solve_s,baseline_best,best_logL,true_logL,best_minus_true,candidates,true_rank,dp_s,score_vars,score_rows,score_classes,anchors
8,40,0,moderate,1,2.0,equal,0.0,-103.59623994129538,6.617603511365642,2.163705587387085,0.8712825775146484,0.7502100467681885,1.9024484157562256,-304.12942219764744,-304.12942219764744,-291.7790510519478,-12.350371145699626,12,9999,0.16169071197509766,1072,3568,16,8
8,40,0,moderate,1,2.0,equal,0.25,-103.59623994129538,6.617603511365642,2.163705587387085,0.8712825775146484,0.7502100467681885,1.9024484157562256,-304.12942219764744,-305.95327247100175,-291.7790510519478,-14.174221419053936,30,9999,0.16169071197509766,1072,3568,16,8
8,40,0,moderate,1,2.0,equal,0.5,-103.59623994129538,6.617603511365642,2.163705587387085,0.8712825775146484,0.7502100467681885,1.9024484157562256,-304.12942219764744,-306.8843951442996,-291.7790510519478,-15.1053440923518,30,9999,0.16169071197509766,1072,3568,16,8
8,40,0,moderate,1,2.0,equal,0.75,-103.59623994129538,6.617603511365642,2.163705587387085,0.8712825775146484,0.7502100467681885,1.9024484157562256,-304.12942219764744,-309.1989017903292,-291.7790510519478,-17.4198507383814,30,9999,0.16169071197509766,1072,3568,16,8
8,40,0,moderate,1,2.0,equal,1.0,-103.59623994129538,6.617603511365642,2.163705587387085,0.8712825775146484,0.7502100467681885,1.9024484157562256,-304.12942219764744,-306.8843951442996,-291.7790510519478,-15.1053440923518,30,9999,0.16169071197509766,1072,3568,16,8
