n,S,rep,ncand,metric,true_rank,top_rf,corr_neg_rf
30,5000,2,250,wb_b0.25_g1.0,74,14,-0.5604714684965592
30,5000,2,250,wb_b0.5_g-0.5,94,56,-0.14710425084095674
30,5000,2,250,wb_b0.5_g-0.25,105,56,-0.2336297189417008
30,5000,2,250,wb_b0.5_g0,123,56,-0.5655827432867266
30,5000,2,250,wb_b0.5_g0.25,207,56,-0.9326013458016272
30,5000,2,250,wb_b0.5_g0.5,127,56,-0.9494264910148601
30,5000,2,250,wb_b0.5_g1.0,75,56,-0.8993406135039996
30,5000,2,250,wb_b0_g0_p0.25,49,14,0.4006270452441111
30,5000,2,250,wb_b0_g0_p0.5,88,12,0.11452346729009608
30,5000,2,250,wb_b-0.25_g0_p0.25,25,2,0.9690572577928289
30,5000,2,250,wb_b-0.25_g0_p0.5,23,2,0.9623929967627615
30,5000,2,250,wb_b-0.5_g0_p0.25,32,2,0.9700773426233027
30,5000,2,250,wb_b-0.5_g0_p0.5,31,2,0.9683882274356265
30,5000,2,250,wb_b0_g0.25_p0.25,36,2,0.960144139966595
30,5000,2,250,wb_b0_g0.25_p0.5,62,10,0.8225454135088707
30,5000,2,250,wb_b0_g0.5_p0.25,41,10,0.9378450546163786
30,5000,2,250,wb_b0_g0.5_p0.5,60,14,0.5852022643750436
30,5000,2,250,wb_b-0.25_g0.25_p0.25,29,2,0.9689129773862061
30,5000,2,250,wb_b-0.25_g0.25_p0.5,30,2,0.9622435380280463
30,5000,2,250,wb_b-0.25_g0.5_p0.25,30,2,0.964848372862429
30,5000,2,250,wb_b-0.25_g0.5_p0.5,34,14,0.9576700590602812
30,5000,3,250,bottleneck,10,2,0.8677235815689714
30,5000,3,250,q05,18,4,0.9474880566639077
30,5000,3,250,q10,59,4,0.9595834790517759
30,5000,3,250,cvar10,13,2,0.9386615756380803
30,5000,3,250,cvar20,53,4,0.9629772344154713
30,5000,3,250,soft_0.1,40,8,0.9348337723657117
30,5000,3,250,soft_0.25,63,6,0.9712433152340832
30,5000,3,250,soft_0.5,61,6,0.9786524002391251
30,5000,3,250,wb_b-0.5_g-0.5,17,2,0.9626533853263131
30,5000,3,250,wb_b-0.5_g-0.25,72,4,0.9676908174492538
30,5000,3,250,wb_b-0.5_g0,71,4,0.9680166374159632
30,5000,3,250,wb_b-0.5_g0.25,64,4,0.9633086728494988
30,5000,3,250,wb_b-0.5_g0.5,65,4,0.9568365136021707
30,5000,3,250,wb_b-0.5_g1.0,68,4,0.9338477413507892
30,5000,3,250,wb_b-0.25_g-0.5,24,4,0.5445990515312428
30,5000,3,250,wb_b-0.25_g-0.25,13,2,0.919769059465973
30,5000,3,250,wb_b-0.25_g0,69,2,0.9695469366049716
30,5000,3,250,wb_b-0.25_g0.25,72,2,0.9721509828982802
30,5000,3,250,wb_b-0.25_g0.5,67,6,0.9676822548295061
30,5000,3,250,wb_b-0.25_g1.0,53,4,0.9477535891888614
30,5000,3,250,wb_b0_g-0.5,95,4,0.29024682830159965
30,5000,3,250,wb_b0_g-0.25,90,4,0.3836194710340835
30,5000,3,250,wb_b0_g0,10,2,0.8677235815689714
30,5000,3,250,wb_b0_g0.25,21,2,0.9494006467711091
30,5000,3,250,wb_b0_g0.5,17,6,0.9474938597388991
30,5000,3,250,wb_b0_g1.0,31,6,0.9277849209283918
30,5000,3,250,wb_b0.25_g-0.5,127,4,0.1331524305570948
30,5000,3,250,wb_b0.25_g-0.25,130,56,0.07492066288918287
30,5000,3,250,wb_b0.25_g0,136,56,-0.1018426729443432
30,5000,3,250,wb_b0.25_g0.25,100,54,-0.6430498124519565
30,5000,3,250,wb_b0.25_g0.5,92,56,-0.34845498837617706
30,5000,3,250,wb_b0.25_g1.0,60,10,0.17872077968451988
30,5000,3,250,wb_b0.5_g-0.5,136,52,0.019760966731887313
30,5000,3,250,wb_b0.5_g-0.25,141,52,-0.1226074996152256
30,5000,3,250,wb_b0.5_g0,158,52,-0.5378679427129509
30,5000,3,250,wb_b0.5_g0.25,211,52,-0.9085307860176968
30,5000,3,250,wb_b0.5_g0.5,51,56,-0.9502966742163592
30,5000,3,250,wb_b0.5_g1.0,34,56,-0.6453975956148852
30,5000,3,250,wb_b0_g0_p0.25,114,4,0.63768754937241
30,5000,3,250,wb_b0_g0_p0.5,121,10,0.327763699200689
30,5000,3,250,wb_b-0.25_g0_p0.25,38,6,0.9662934807810315
30,5000,3,250,wb_b-0.25_g0_p0.5,28,8,0.9601176564818268
30,5000,3,250,wb_b-0.5_g0_p0.25,78,4,0.9694816471942229
30,5000,3,250,wb_b-0.5_g0_p0.5,80,4,0.970466151670295
30,5000,3,250,wb_b0_g0.25_p0.25,39,2,0.9415664944587786
30,5000,3,250,wb_b0_g0.25_p0.5,96,2,0.8246590685490043
30,5000,3,250,wb_b0_g0.5_p0.25,36,16,0.9199676235688825
30,5000,3,250,wb_b0_g0.5_p0.5,38,2,0.7880091831188903
30,5000,3,250,wb_b-0.25_g0.25_p0.25,30,6,0.9740329332386471
30,5000,3,250,wb_b-0.25_g0.25_p0.5,29,2,0.9689319869350761
30,5000,3,250,wb_b-0.25_g0.5_p0.25,25,6,0.9719299828786213
30,5000,3,250,wb_b-0.25_g0.5_p0.5,32,6,0.9668007606910397
30,5000,4,250,bottleneck,10,14,0.9149071050287915
30,5000,4,250,q05,27,2,0.9429898278984188
30,5000,4,250,q10,17,14,0.9620401319860019
30,5000,4,250,cvar10,24,14,0.943444304808601
30,5000,4,250,cvar20,38,4,0.9603693328626663
30,5000,4,250,soft_0.1,59,14,0.9491303118077493
30,5000,4,250,soft_0.25,61,14,0.9674566810769846
30,5000,4,250,soft_0.5,52,14,0.9734895672407359
30,5000,4,250,wb_b-0.5_g-0.5,17,2,0.9717332338060496
30,5000,4,250,wb_b-0.5_g-0.25,50,4,0.9637488568165855
30,5000,4,250,wb_b-0.5_g0,56,4,0.9638094223476835
30,5000,4,250,wb_b-0.5_g0.25,59,4,0.964213110789434
30,5000,4,250,wb_b-0.5_g0.5,60,4,0.9608094299415879
30,5000,4,250,wb_b-0.5_g1.0,69,4,0.9411587046650837
30,5000,4,250,wb_b-0.25_g-0.5,81,14,0.3647642636813009
30,5000,4,250,wb_b-0.25_g-0.25,12,2,0.9583423181188866
30,5000,4,250,wb_b-0.25_g0,62,14,0.9714619704656516
30,5000,4,250,wb_b-0.25_g0.25,70,14,0.9730860234949505
30,5000,4,250,wb_b-0.25_g0.5,77,14,0.9686910409290637
30,5000,4,250,wb_b-0.25_g1.0,90,4,0.9397820584742935
30,5000,4,250,wb_b0_g-0.5,90,14,-0.09316898101245016
30,5000,4,250,wb_b0_g-0.25,79,14,0.1350619594556727
30,5000,4,250,wb_b0_g0,10,14,0.9149071050287915
30,5000,4,250,wb_b0_g0.25,32,2,0.960629026156985
30,5000,4,250,wb_b0_g0.5,92,14,0.9557218862884268
30,5000,4,250,wb_b0_g1.0,87,14,0.9168948213904671
30,5000,4,250,wb_b0.25_g-0.5,138,4,-0.2077608459045349
30,5000,4,250,wb_b0.25_g-0.25,141,54,-0.2260504815412272
30,5000,4,250,wb_b0.25_g0,156,54,-0.2120712397965544
30,5000,4,250,wb_b0.25_g0.25,59,56,-0.9135461257999662
30,5000,4,250,wb_b0.25_g0.5,130,54,-0.8741945416033597
30,5000,4,250,wb_b0.25_g1.0,124,56,-0.6837230160778014
30,5000,4,250,wb_b0.5_g-0.5,145,56,-0.23852736334882674
30,5000,4,250,wb_b0.5_g-0.25,148,56,-0.2904393921587795
30,5000,4,250,wb_b0.5_g0,154,56,-0.5768541466955548
30,5000,4,250,wb_b0.5_g0.25,192,56,-0.9281908243231749
30,5000,4,250,wb_b0.5_g0.5,106,56,-0.9442175161983721
30,5000,4,250,wb_b0.5_g1.0,116,56,-0.9052070529844239
30,5000,4,250,wb_b0_g0_p0.25,132,14,0.6658337672683526
30,5000,4,250,wb_b0_g0_p0.5,152,4,0.29608173243251884
30,5000,4,250,wb_b-0.25_g0_p0.25,28,14,0.9706057054026882
30,5000,4,250,wb_b-0.25_g0_p0.5,38,2,0.9563837622809088
30,5000,4,250,wb_b-0.5_g0_p0.25,65,4,0.9648239073006152
30,5000,4,250,wb_b-0.5_g0_p0.5,70,14,0.964894569052786
30,5000,4,250,wb_b0_g0.25_p0.25,115,14,0.9158532400912184
30,5000,4,250,wb_b0_g0.25_p0.5,120,16,0.737960237222122
30,5000,4,250,wb_b0_g0.5_p0.25,110,16,0.8785228753671425
30,5000,4,250,wb_b0_g0.5_p0.5,111,16,0.4253400536956556
30,5000,4,250,wb_b-0.25_g0.25_p0.25,83,14,0.9733423306772735
30,5000,4,250,wb_b-0.25_g0.25_p0.5,42,14,0.9726910795784749
30,5000,4,250,wb_b-0.25_g0.5_p0.25,90,14,0.9668043892096502
30,5000,4,250,wb_b-0.25_g0.5_p0.5,97,6,0.9649032911945147
