n,S,regime,rep,mode,delta,anchors,facets,size_weight,max_flow,lp_score,primary_build_s,primary_solve_s,baseline_best,baseline_candidates,baseline_true_rank,local_score,couple_build_s,couple_solve_s,couple_wall_s,best_logL,best_structural_rank,best_bottleneck,candidates,true_rank,true_logL,best_minus_true,anchor_ids,variables,rows,qvars,cache_classes
12,30,moderate,0,spectral,2.0,6,3,equal,3,-75.24910969974792,3.5504562854766846,4.973238945007324,-320.30717993501537,15,9999,7.3029811965450735,0.17401480674743652,2.6706435680389404,2.6729187965393066,-340.70763707636286,14,0.26043132522911216,15,9999,-270.7467920544503,-69.96084502191258,"[9, 17, 22, 0, 2, 29]",60,240,60,12
12,30,moderate,0,spectral,2.0,6,3,equal,4,-75.24910969974792,3.422247886657715,6.0942018032073975,-320.30717993501537,15,9999,8.305884842064529,0.6400761604309082,2.058100461959839,2.061272621154785,-inf,0,0,0,9999,-270.7467920544503,-inf,"[9, 17, 22, 0, 2, 29]",96,384,96,24
