method,lower,upper,width
actual 16 discrete two-leaf patterns,0.004170250536508515,0.6774739130229983,0.6733036624864898
plain interval propagation,0.0009738562674221112,0.8215246849712201,0.820550828703798
window constraints + LP bound tightening,0.004170250536508515,0.6774739130229983,0.6733036624864898
