n,S,regime,rep,mode,delta,anchors,facets,size_weight,lp_score,primary_build_s,primary_solve_s,baseline_best,baseline_candidates,baseline_true_rank,local_score,couple_build_s,couple_solve_s,couple_wall_s,best_logL,best_structural_rank,best_bottleneck,candidates,true_rank,true_logL,best_minus_true,anchor_ids,variables,rows,qvars,cache_classes
8,40,moderate,0,spectral,0.0,8,4,equal,-103.59623994129535,1.48130464553833,0.7059810161590576,-304.12941850511004,12,9999,6.392065600494876,1.6271631717681885,1.0115010738372803,1.0146849155426025,-301.421585959387,29,0.13567088226308874,36,9999,-291.7790510519478,-9.642534907439199,"[1, 20, 28, 4, 10, 35, 15, 29]",176,880,176,128
8,40,moderate,0,spectral,1.0,8,4,equal,-103.59623994129538,1.3658769130706787,0.5972871780395508,-310.17384895746767,9,9999,6.4393425220322,1.620943307876587,1.1220664978027344,1.1249384880065918,-301.421585959387,40,0.0030842400160347246,40,9999,-291.7790510519478,-9.642534907439199,"[1, 20, 28, 4, 10, 35, 15, 29]",176,880,176,128
8,40,moderate,0,spectral,2.0,8,4,equal,-103.59623994129537,1.5178487300872803,0.6175801753997803,-310.17384895746767,9,9999,6.4693633945245255,1.7375426292419434,0.9438884258270264,0.9467766284942627,-299.9789795186015,40,0.004014956557296099,40,9999,-291.7790510519478,-8.19992846665366,"[1, 20, 28, 4, 10, 35, 15, 29]",176,880,176,128
