strategy,candidate_count,explained,rmse,length_explained,length_rmse,seconds,components,top_share
after,7,0.9859232175380777,0.0826646120006542,1.0,4.3516828801669925e-16,0.08179044723510742,6,0.2647581349753017
binary-before,7,0.9868469161821958,0.08266461200065352,1.0,4.3516828801669925e-16,0.08418464660644531,6,0.264758134975302
ignore,7,0.9859232175380777,0.0826646120006542,,,0.08201837539672852,6,0.2647581349753017
