L,strategy,candidates_fit,components_ge_0.001,topology_explained,topology_rmse,length_explained_postfit,length_rmse_postfit,seconds,top_share
8,after,22,12,0.9956060363998392,0.04618449077346407,1.0,0.0,0.28234004974365234,0.17855941836888398
8,binary-before,22,12,0.9958943621042926,0.04618449077346467,1.0,0.0,0.30489635467529297,0.17855941836888398
12,after,160,33,0.9693650995514645,0.08374568932937113,1.0,4.3133757115277414e-16,0.9025998115539551,0.08245616611923626
12,binary-before,160,33,0.9711484863461094,0.08374568932937096,1.0,4.638132608690382e-16,0.913367509841919,0.08245616611923623
