n,S,rep,regime,ncand,beta,gamma,true_rank,top_rf,sim_s,cand_s,cov_s,units_s,unique_units,ref
100,10000,0,wide,180,0,0,41,196,3.5404605865478516,1.843524694442749,0.520876407623291,0.09516024589538574,2658,2.996525908005424
100,10000,0,wide,180,-0.05,-0.05,31,196,3.5404605865478516,1.843524694442749,0.520876407623291,0.09516024589538574,2658,2.996525908005424
100,10000,0,wide,180,-0.1,-0.1,30,196,3.5404605865478516,1.843524694442749,0.520876407623291,0.09516024589538574,2658,2.996525908005424
100,10000,0,wide,180,-0.15,-0.15,28,196,3.5404605865478516,1.843524694442749,0.520876407623291,0.09516024589538574,2658,2.996525908005424
100,10000,0,wide,180,-0.2,-0.2,25,196,3.5404605865478516,1.843524694442749,0.520876407623291,0.09516024589538574,2658,2.996525908005424
100,10000,0,wide,180,-0.3,-0.3,25,196,3.5404605865478516,1.843524694442749,0.520876407623291,0.09516024589538574,2658,2.996525908005424
100,10000,0,wide,180,-0.1,0,57,194,3.5404605865478516,1.843524694442749,0.520876407623291,0.09516024589538574,2658,2.996525908005424
100,10000,0,wide,180,0,-0.1,90,196,3.5404605865478516,1.843524694442749,0.520876407623291,0.09516024589538574,2658,2.996525908005424
