n,S,regime,rep,mode,delta,anchors,facets,size_weight,max_flow,sampled_points,physical_grid,lp_score,primary_build_s,primary_solve_s,baseline_best,baseline_candidates,baseline_true_rank,local_score,couple_build_s,couple_solve_s,couple_wall_s,best_logL,best_structural_rank,best_bottleneck,candidates,true_rank,true_logL,best_minus_true,anchor_ids,variables,rows,qvars,cache_classes
8,40,moderate,0,spectral,2.0,6,3,equal,,,7,-103.59623994129537,1.3830125331878662,0.5691137313842773,-310.1738506400182,9,9999,6.669676491471427,0.31183552742004395,0.6616489887237549,0.6649131774902344,-311.834639777949,14,0.14739264361496213,20,9999,-291.7790510519478,-20.05558872600119,"[1, 20, 28, 4, 5, 29]",132,528,132,96
8,40,moderate,1,spectral,2.0,6,3,equal,,,7,-92.10627533371743,1.1212966442108154,0.48409605026245117,-302.6407559918249,20,9999,6.875063447326554,0.14720845222473145,0.4056427478790283,0.4081151485443115,-302.0561679869899,9,0.12463631646642319,20,9999,-282.18239733730286,-19.87377064968706,"[4, 5, 10, 6, 33, 8]",132,528,132,96
8,40,wide,0,spectral,2.0,6,3,equal,,,7,-111.74294948559402,2.1389710903167725,0.5968081951141357,-295.6120190586375,12,9999,6.556180546969771,0.40518903732299805,0.9953227043151855,0.9999215602874756,-295.14556040342103,8,0.019926971717589583,20,9999,-294.9990969723718,-0.14646343104925563,"[1, 10, 13, 18, 19, 25]",132,528,132,96
8,40,moderate,0,spectral,2.0,8,4,equal,,,7,-103.59623994129538,1.355898380279541,0.5845150947570801,-304.12942219764744,12,9999,6.461235560217472,0.3283841609954834,0.7527382373809814,0.7556502819061279,-308.0350974160914,10,0.0797798648971324,20,9999,-291.7790510519478,-16.25604636414357,"[1, 20, 28, 4, 10, 35, 15, 29]",176,880,176,128
