n,S,rep,regime,delta,weight,kind,tref,spread,score_mode,alpha,lp_score,secondary_score,build_s,primary_solve_s,score_build_s,secondary_solve_s,baseline_best,best_logL,true_logL,best_minus_true,candidates,true_rank,score_vars,score_rows,anchors,baseline
8,40,0,moderate,2.0,inverse_flow,single,0.1,2,overlap,0.0,-103.59623994129534,0.04767333581665516,2.400038003921509,0.7457790374755859,0.01747894287109375,1.1632087230682373,-304.12942219764744,-304.12942219764744,-291.7790510519478,-12.350371145699626,12,9999,352,704,4,0.25835230122294667
8,40,0,moderate,2.0,inverse_flow,single,0.1,2,overlap,0.5,-103.59623994129534,0.04767333581665516,2.400038003921509,0.7457790374755859,0.01747894287109375,1.1632087230682373,-304.12942219764744,-311.1873211476745,-291.7790510519478,-19.408270095726664,22,9999,352,704,4,0.25835230122294667
8,40,0,moderate,2.0,inverse_flow,single,0.1,2,overlap,1.0,-103.59623994129534,0.04767333581665516,2.400038003921509,0.7457790374755859,0.01747894287109375,1.1632087230682373,-304.12942219764744,-316.780912763276,-291.7790510519478,-25.00186171132816,3,9999,352,704,4,0.25835230122294667
8,40,0,moderate,2.0,inverse_flow,single,0.1,2,overlap,0.0,-103.5962399412954,0.026449310296520083,3.9755613803863525,0.8137750625610352,0.01823139190673828,1.4191346168518066,-310.1738506400182,-310.1738506400182,-291.7790510519478,-18.394799588070384,9,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,inverse_flow,single,0.1,2,overlap,0.5,-103.5962399412954,0.026449310296520083,3.9755613803863525,0.8137750625610352,0.01823139190673828,1.4191346168518066,-310.1738506400182,-312.2267183678102,-291.7790510519478,-20.44766731586236,25,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,inverse_flow,single,0.1,2,overlap,1.0,-103.5962399412954,0.026449310296520083,3.9755613803863525,0.8137750625610352,0.01823139190673828,1.4191346168518066,-310.1738506400182,-306.11260106076065,-291.7790510519478,-14.333550008812836,9,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,inverse_flow,single,0.1,2,overlap,0.0,-103.59623994129537,-0.0005083303100457,2.20805287361145,0.7838420867919922,0.05677175521850586,2.5269949436187744,-304.12942219764744,-304.12942219764744,-291.7790510519478,-12.350371145699626,12,9999,1408,2816,16,0.25835230122294667
8,40,0,moderate,2.0,inverse_flow,single,0.1,2,overlap,0.5,-103.59623994129537,-0.0005083303100457,2.20805287361145,0.7838420867919922,0.05677175521850586,2.5269949436187744,-304.12942219764744,-306.25158133076053,-291.7790510519478,-14.472530278812712,25,9999,1408,2816,16,0.25835230122294667
8,40,0,moderate,2.0,inverse_flow,single,0.1,2,overlap,1.0,-103.59623994129537,-0.0005083303100457,2.20805287361145,0.7838420867919922,0.05677175521850586,2.5269949436187744,-304.12942219764744,-308.32522830561504,-291.7790510519478,-16.546177253667224,4,9999,1408,2816,16,0.25835230122294667
