n,S,rep,regime,ncand,beta,gamma,true_rank,top_rf,sim_s,candidate_s,pairdist_s,unit_score_s,unique_units,ref,source
100,10000,0,moderate,180,0.0,0.0,3,4,3.951409101486206,1.908775329589844,0.3821895122528076,0.0894758701324462,2628,0.6815000176429749,unit_weight_100taxa_clean.csv
100,10000,0,moderate,180,-0.05,-0.05,4,4,3.951409101486206,1.908775329589844,0.3821895122528076,0.0894758701324462,2628,0.6815000176429749,unit_weight_100taxa_clean.csv
100,10000,0,moderate,180,-0.1,-0.1,2,6,3.951409101486206,1.908775329589844,0.3821895122528076,0.0894758701324462,2628,0.6815000176429749,unit_weight_100taxa_clean.csv
100,10000,0,moderate,180,-0.15,-0.15,2,6,3.951409101486206,1.908775329589844,0.3821895122528076,0.0894758701324462,2628,0.6815000176429749,unit_weight_100taxa_clean.csv
100,10000,0,moderate,180,-0.2,-0.2,3,6,3.951409101486206,1.908775329589844,0.3821895122528076,0.0894758701324462,2628,0.6815000176429749,unit_weight_100taxa_clean.csv
100,10000,0,moderate,180,-0.3,-0.3,5,6,3.951409101486206,1.908775329589844,0.3821895122528076,0.0894758701324462,2628,0.6815000176429749,unit_weight_100taxa_clean.csv
100,10000,0,moderate,180,-0.2,0.0,19,6,3.951409101486206,1.908775329589844,0.3821895122528076,0.0894758701324462,2628,0.6815000176429749,unit_weight_100taxa_clean.csv
100,10000,0,moderate,180,0.0,-0.2,109,196,3.951409101486206,1.908775329589844,0.3821895122528076,0.0894758701324462,2628,0.6815000176429749,unit_weight_100taxa_clean.csv
100,10000,0,moderate,180,0.1,0.0,115,40,3.951409101486206,1.908775329589844,0.3821895122528076,0.0894758701324462,2628,0.6815000176429749,unit_weight_100taxa_clean.csv
100,10000,0,moderate,180,0.0,0.1,13,6,3.951409101486206,1.908775329589844,0.3821895122528076,0.0894758701324462,2628,0.6815000176429749,unit_weight_100taxa_clean.csv
100,10000,1,moderate,180,0.0,0.0,5,2,3.917694330215454,2.1096832752227783,0.3889529705047607,0.0884037017822265,2661,0.6776999831199646,unit_weight_100taxa_clean.csv
100,10000,1,moderate,180,-0.05,-0.05,5,2,3.917694330215454,2.1096832752227783,0.3889529705047607,0.0884037017822265,2661,0.6776999831199646,unit_weight_100taxa_clean.csv
100,10000,1,moderate,180,-0.1,-0.1,7,2,3.917694330215454,2.1096832752227783,0.3889529705047607,0.0884037017822265,2661,0.6776999831199646,unit_weight_100taxa_clean.csv
100,10000,1,moderate,180,-0.15,-0.15,5,2,3.917694330215454,2.1096832752227783,0.3889529705047607,0.0884037017822265,2661,0.6776999831199646,unit_weight_100taxa_clean.csv
100,10000,1,moderate,180,-0.2,-0.2,40,12,3.917694330215454,2.1096832752227783,0.3889529705047607,0.0884037017822265,2661,0.6776999831199646,unit_weight_100taxa_clean.csv
100,10000,1,moderate,180,-0.3,-0.3,10,2,3.917694330215454,2.1096832752227783,0.3889529705047607,0.0884037017822265,2661,0.6776999831199646,unit_weight_100taxa_clean.csv
100,10000,1,moderate,180,-0.2,0.0,9,2,3.917694330215454,2.1096832752227783,0.3889529705047607,0.0884037017822265,2661,0.6776999831199646,unit_weight_100taxa_clean.csv
100,10000,1,moderate,180,0.0,-0.2,100,196,3.917694330215454,2.1096832752227783,0.3889529705047607,0.0884037017822265,2661,0.6776999831199646,unit_weight_100taxa_clean.csv
100,10000,1,moderate,180,0.1,0.0,112,48,3.917694330215454,2.1096832752227783,0.3889529705047607,0.0884037017822265,2661,0.6776999831199646,unit_weight_100taxa_clean.csv
100,10000,1,moderate,180,0.0,0.1,9,2,3.917694330215454,2.1096832752227783,0.3889529705047607,0.0884037017822265,2661,0.6776999831199646,unit_weight_100taxa_clean.csv
100,10000,2,moderate,180,0.0,0.0,3,10,4.030909776687622,3.100627899169922,0.392582893371582,0.0883727073669433,2662,0.6822899758815766,unit_weight_100taxa_clean.csv
100,10000,2,moderate,180,-0.05,-0.05,5,10,4.030909776687622,3.100627899169922,0.392582893371582,0.0883727073669433,2662,0.6822899758815766,unit_weight_100taxa_clean.csv
100,10000,2,moderate,180,-0.1,-0.1,4,4,4.030909776687622,3.100627899169922,0.392582893371582,0.0883727073669433,2662,0.6822899758815766,unit_weight_100taxa_clean.csv
100,10000,2,moderate,180,-0.15,-0.15,5,10,4.030909776687622,3.100627899169922,0.392582893371582,0.0883727073669433,2662,0.6822899758815766,unit_weight_100taxa_clean.csv
100,10000,2,moderate,180,-0.2,-0.2,5,10,4.030909776687622,3.100627899169922,0.392582893371582,0.0883727073669433,2662,0.6822899758815766,unit_weight_100taxa_clean.csv
100,10000,2,moderate,180,-0.3,-0.3,6,10,4.030909776687622,3.100627899169922,0.392582893371582,0.0883727073669433,2662,0.6822899758815766,unit_weight_100taxa_clean.csv
100,10000,2,moderate,180,-0.2,0.0,24,4,4.030909776687622,3.100627899169922,0.392582893371582,0.0883727073669433,2662,0.6822899758815766,unit_weight_100taxa_clean.csv
100,10000,2,moderate,180,0.0,-0.2,116,196,4.030909776687622,3.100627899169922,0.392582893371582,0.0883727073669433,2662,0.6822899758815766,unit_weight_100taxa_clean.csv
100,10000,2,moderate,180,0.1,0.0,113,16,4.030909776687622,3.100627899169922,0.392582893371582,0.0883727073669433,2662,0.6822899758815766,unit_weight_100taxa_clean.csv
100,10000,2,moderate,180,0.0,0.1,17,4,4.030909776687622,3.100627899169922,0.392582893371582,0.0883727073669433,2662,0.6822899758815766,unit_weight_100taxa_clean.csv
100,20000,0,moderate,180,0.0,0.0,2,6,15.456307411193848,2.008955717086792,0.8287942409515381,0.0930578708648681,2685,0.687280023097992,unit_weight_100taxa_clean.csv
100,20000,0,moderate,180,-0.05,-0.05,2,6,15.456307411193848,2.008955717086792,0.8287942409515381,0.0930578708648681,2685,0.687280023097992,unit_weight_100taxa_clean.csv
100,20000,0,moderate,180,-0.1,-0.1,2,6,15.456307411193848,2.008955717086792,0.8287942409515381,0.0930578708648681,2685,0.687280023097992,unit_weight_100taxa_clean.csv
100,20000,0,moderate,180,-0.15,-0.15,2,6,15.456307411193848,2.008955717086792,0.8287942409515381,0.0930578708648681,2685,0.687280023097992,unit_weight_100taxa_clean.csv
100,20000,0,moderate,180,-0.2,-0.2,2,6,15.456307411193848,2.008955717086792,0.8287942409515381,0.0930578708648681,2685,0.687280023097992,unit_weight_100taxa_clean.csv
100,20000,0,moderate,180,-0.3,-0.3,3,6,15.456307411193848,2.008955717086792,0.8287942409515381,0.0930578708648681,2685,0.687280023097992,unit_weight_100taxa_clean.csv
100,20000,0,moderate,180,-0.2,0.0,13,18,15.456307411193848,2.008955717086792,0.8287942409515381,0.0930578708648681,2685,0.687280023097992,unit_weight_100taxa_clean.csv
100,20000,0,moderate,180,0.0,-0.2,108,44,15.456307411193848,2.008955717086792,0.8287942409515381,0.0930578708648681,2685,0.687280023097992,unit_weight_100taxa_clean.csv
100,20000,0,moderate,180,0.1,0.0,114,34,15.456307411193848,2.008955717086792,0.8287942409515381,0.0930578708648681,2685,0.687280023097992,unit_weight_100taxa_clean.csv
100,20000,0,moderate,180,0.0,0.1,14,6,15.456307411193848,2.008955717086792,0.8287942409515381,0.0930578708648681,2685,0.687280023097992,unit_weight_100taxa_clean.csv
100,10000,0,wide,180,0.0,0.0,41,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963,unit_weight_100taxa_wide.csv
100,10000,0,wide,180,-0.1,-0.1,30,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963,unit_weight_100taxa_wide.csv
100,10000,0,wide,180,-0.2,-0.2,25,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963,unit_weight_100taxa_wide.csv
100,10000,0,wide,180,-0.3,-0.3,25,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963,unit_weight_100taxa_wide.csv
100,10000,0,wide,180,-0.2,0.0,43,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963,unit_weight_100taxa_wide.csv
100,10000,0,wide,180,0.0,-0.2,61,194,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963,unit_weight_100taxa_wide.csv
100,10000,0,wide,180,-0.3,0.0,46,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963,unit_weight_100taxa_wide.csv
100,10000,0,wide,180,0.0,-0.3,94,194,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963,unit_weight_100taxa_wide.csv
100,10000,0,wide,180,0.1,0.0,140,36,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963,unit_weight_100taxa_wide.csv
100,10000,0,wide,180,0.0,0.1,79,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963,unit_weight_100taxa_wide.csv
