n,S,regime,rep,mode,delta,anchors,facets,size_weight,max_flow,sampled_points,lp_score,primary_build_s,primary_solve_s,baseline_best,baseline_candidates,baseline_true_rank,local_score,couple_build_s,couple_solve_s,couple_wall_s,best_logL,best_structural_rank,best_bottleneck,candidates,true_rank,true_logL,best_minus_true,anchor_ids,variables,rows,qvars,cache_classes
8,40,moderate,0,spectral,2.0,8,4,equal,,64,-103.59623994129535,1.3894922733306885,0.6066112518310547,-304.12942219764744,12,9999,6.402028677145928,0.29615330696105957,1.1143510341644287,1.117319107055664,-306.16343918940726,12,0.10466087955929708,12,9999,-291.7790510519478,-14.384388137459439,"[1, 20, 28, 4, 10, 35, 15, 29]",176,880,176,128
8,40,moderate,0,spectral,2.0,8,4,equal,,128,-103.59623994129532,1.4375078678131104,0.6580665111541748,-304.12942219764744,12,9999,6.43468002573973,0.4303405284881592,1.0610644817352295,1.0640552043914795,-299.75481102108347,11,0.11778096133294522,20,9999,-291.7790510519478,-7.975759969135652,"[1, 20, 28, 4, 10, 35, 15, 29]",176,880,176,128
8,40,moderate,0,spectral,2.0,8,4,equal,,256,-103.59623994129537,1.434347152709961,0.6310184001922607,-304.12942219764744,12,9999,6.506518985699698,0.6536672115325928,1.1326243877410889,1.1355950832366943,-317.31516571527976,3,0.24843816194915214,16,9999,-291.7790510519478,-25.536114663331944,"[1, 20, 28, 4, 10, 35, 15, 29]",176,880,176,128
8,40,moderate,1,spectral,2.0,8,4,equal,,128,-92.10627533371746,1.109165906906128,0.5039548873901367,-302.6407559918249,20,9999,6.820829536964438,0.3806297779083252,0.5254597663879395,0.5281288623809814,-302.44410007364456,5,0.12095102691085348,20,9999,-282.18239733730286,-20.261702736341704,"[4, 5, 10, 6, 7, 25, 9, 8]",176,880,176,128
8,40,wide,0,spectral,2.0,8,4,equal,,128,-111.74294948559402,2.1390888690948486,0.5420918464660645,-295.6120190586375,12,9999,6.4276224948871254,0.49384212493896484,1.3964638710021973,1.3996779918670654,-294.9217544170685,2,0.10245100234423143,14,9999,-294.9990969723718,0.07734255530328937,"[1, 10, 13, 18, 20, 11, 32, 25]",176,880,176,128
