L,rank,proportion,root_unit,newick
8,1,0.17855941836888398,S_m0008_a0001_j0000,"(leaf_8,(leaf_7,(leaf_6,(leaf_4,(leaf_3,(leaf_5,(leaf_1,leaf_2)))))));"
8,2,0.13631718266551213,S_m0008_a0001_j0000,"(leaf_8,(leaf_6,(leaf_2,(leaf_4,(leaf_7,(leaf_3,(leaf_5,leaf_1)))))));"
8,3,0.13172596909001533,S_m0008_a0001_j0000,"(leaf_8,(leaf_7,(leaf_6,(leaf_4,(leaf_1,(leaf_3,(leaf_5,leaf_2)))))));"
8,4,0.08769317248401673,S_m0008_a0001_j0000,"(leaf_8,(leaf_7,(leaf_2,(leaf_4,(leaf_3,(leaf_6,(leaf_5,leaf_1)))))));"
8,5,0.07816684395864293,S_m0008_a0001_j0000,"(leaf_8,(leaf_7,(leaf_2,(leaf_4,(leaf_5,(leaf_6,(leaf_1,leaf_3)))))));"
8,6,0.07677247306369069,S_m0008_a0001_j0000,"(leaf_8,(leaf_7,(leaf_6,(leaf_4,(leaf_3,(leaf_2,(leaf_5,leaf_1)))))));"
8,7,0.07257793758265839,S_m0008_a0001_j0000,"(leaf_8,(leaf_7,(leaf_2,(leaf_4,(leaf_5,(leaf_6,(leaf_3,leaf_1)))))));"
8,8,0.06592717284126101,S_m0008_a0001_j0000,"(leaf_8,(leaf_7,(leaf_6,(leaf_4,(leaf_5,(leaf_3,(leaf_1,leaf_2)))))));"
8,9,0.053446328860282416,S_m0008_a0001_j0000,"(leaf_8,(leaf_7,(leaf_6,(leaf_4,(leaf_2,(leaf_3,(leaf_5,leaf_1)))))));"
8,10,0.0457093504661787,S_m0008_a0001_j0000,"(leaf_8,(leaf_7,(leaf_2,(leaf_4,(leaf_5,(leaf_3,(leaf_1,leaf_6)))))));"
8,11,0.0401204440902013,S_m0008_a0001_j0000,"(leaf_8,(leaf_7,(leaf_2,(leaf_4,(leaf_5,(leaf_3,(leaf_6,leaf_1)))))));"
8,12,0.032983706528656405,S_m0008_a0001_j0000,"(leaf_8,(leaf_7,(leaf_2,(leaf_4,(leaf_6,(leaf_3,(leaf_5,leaf_1)))))));"
12,1,0.08245616611923626,S_m0012_a0001_j0000,"(leaf_4,(((leaf_2,leaf_7),(leaf_11,(leaf_1,leaf_8))),((leaf_12,leaf_6),(leaf_9,(leaf_10,(leaf_3,leaf_5))))));"
12,2,0.06778464437095463,S_m0012_a0001_j0000,"(leaf_4,(((leaf_11,leaf_2),(leaf_7,(leaf_1,leaf_8))),((leaf_9,(leaf_10,leaf_5)),(leaf_12,(leaf_6,leaf_3)))));"
12,3,0.06605589848914359,S_m0012_a0001_j0000,"(leaf_4,(((leaf_1,leaf_7),(leaf_11,(leaf_8,leaf_3))),((leaf_10,(leaf_5,leaf_2)),(leaf_9,(leaf_12,leaf_6)))));"
12,4,0.06184578195329102,S_m0012_a0001_j0000,"(leaf_4,(leaf_12,((leaf_6,(leaf_5,(leaf_8,leaf_11))),((leaf_7,(leaf_1,leaf_10)),(leaf_2,(leaf_3,leaf_9))))));"
12,5,0.05564968008927826,S_m0012_a0001_j0000,"(leaf_4,(leaf_12,(((leaf_5,leaf_2),(leaf_6,leaf_11)),((leaf_7,(leaf_10,leaf_1)),(leaf_9,(leaf_3,leaf_8))))));"
12,6,0.051553144348214675,S_m0012_a0001_j0000,"(leaf_4,(((leaf_7,leaf_2),(leaf_8,(leaf_11,leaf_3))),((leaf_12,leaf_6),(leaf_9,(leaf_10,(leaf_5,leaf_1))))));"
12,7,0.051450400155108766,S_m0012_a0001_j0000,"(leaf_4,(((leaf_11,leaf_2),(leaf_12,(leaf_1,leaf_8))),((leaf_7,(leaf_10,leaf_5)),(leaf_9,(leaf_3,leaf_6)))));"
12,8,0.048960956406321095,S_m0012_a0001_j0000,"(leaf_4,(((leaf_1,leaf_12),(leaf_2,(leaf_8,leaf_11))),((leaf_7,(leaf_5,leaf_10)),(leaf_9,(leaf_3,leaf_6)))));"
12,9,0.04755179910108454,S_m0012_a0001_j0000,"(leaf_4,(((leaf_7,leaf_2),(leaf_1,(leaf_11,leaf_8))),((leaf_10,(leaf_9,leaf_5)),(leaf_12,(leaf_3,leaf_6)))));"
12,10,0.04739563805688077,S_m0012_a0001_j0000,"(leaf_4,(((leaf_7,leaf_2),(leaf_8,(leaf_1,leaf_11))),((leaf_9,(leaf_10,leaf_5)),(leaf_12,(leaf_6,leaf_3)))));"
12,11,0.044376177770725764,S_m0012_a0001_j0000,"(leaf_4,(leaf_12,(((leaf_11,leaf_5),(leaf_2,leaf_6)),((leaf_10,(leaf_7,leaf_1)),(leaf_9,(leaf_8,leaf_3))))));"
12,12,0.03974008575278016,S_m0012_a0001_j0000,"(leaf_4,(((leaf_2,leaf_7),(leaf_5,(leaf_11,leaf_8))),((leaf_9,(leaf_10,leaf_1)),(leaf_12,(leaf_3,leaf_6)))));"
12,13,0.0321615028023264,S_m0012_a0001_j0000,"(leaf_4,(((leaf_12,leaf_1),(leaf_7,(leaf_11,leaf_8))),((leaf_2,(leaf_10,leaf_5)),(leaf_9,(leaf_3,leaf_6)))));"
12,14,0.03130925622150464,S_m0012_a0001_j0000,"(leaf_4,(((leaf_12,leaf_7),(leaf_1,(leaf_11,leaf_8))),((leaf_10,(leaf_5,leaf_2)),(leaf_9,(leaf_3,leaf_6)))));"
12,15,0.02981759412312429,S_m0012_a0001_j0000,"(leaf_4,(((leaf_7,leaf_2),(leaf_1,(leaf_8,leaf_11))),((leaf_10,(leaf_5,leaf_9)),(leaf_12,(leaf_3,leaf_6)))));"
