noise,kind,slack,cases,extracted,exact_mass,tv,clade_rmse,tmem_rmse,dominant_exact
0.0,far3,0.0,8,1.0,1.0,2.42861286636753e-17,2.8557211104006694e-17,1.8095256769043874e-17,1.0
0.0,near3,0.0,8,1.0,0.9625,0.075,2.1680603539728412e-17,1.162879342150927e-17,0.875
0.03,far3,0.0,8,0.9548614326336479,1.0,0.041248859450192694,0.015749313608707315,0.006754939664107825,1.0
0.03,near3,0.0,8,0.9590865827114317,1.0,0.0457700687740622,0.023130362456881905,0.0072015561109134135,1.0
0.08,far3,0.0,8,0.8932687472926933,1.0,0.11042917366084193,0.04072327401645393,0.01618891200349284,1.0
0.08,near3,0.0,8,0.8849780105138798,0.9625,0.1624047097403646,0.06939594347931674,0.020000835446101817,0.875
