L,method,lp_value,solve_s,decode_s,extracted_mass,residual_root_mass,components,root_down,leaves_up,first_prop,first_newick
8,root_greedy,-47.722195143052716,0.16876506805419922,0.0006978349993005395,0.0,1.0,0,0,0,0,
8,root_beam,-47.722195143052716,0.16876506805419922,0.0008279680005216505,0.0,1.0,0,0,0,0,
8,leaf_greedy,-47.722195143052716,0.16876506805419922,0.00046800400014035404,0.0,1.0,0,0,0,0,
8,leaf_beam,-47.722195143052716,0.16876506805419922,0.0007129269997676602,0.0,1.0,0,0,0,0,
8,bidirectional,-47.722195143052716,0.16876506805419922,0.0010501769993425114,0.0,1.0,0,0,0,0,
8,NNI_FrankWolfe,-47.722195143052716,0.16876506805419922,1.3460194869985571,0.9861024499802105,0.01389755001978954,11,0,0,0.24951617905993143,"(((((((leaf_1,leaf_2),leaf_3),leaf_5),leaf_4),leaf_6),leaf_7),leaf_8);"
12,root_greedy,-30.867238932379827,3.3973021507263184,0.0013170730017009191,0.0,1.0,0,0,0,0,
12,root_beam,-30.867238932379827,3.3973021507263184,0.0011315480005578138,0.0,1.0,0,0,0,0,
12,leaf_greedy,-30.867238932379827,3.3973021507263184,0.0017563339988555526,0.0,1.0,0,0,0,0,
12,leaf_beam,-30.867238932379827,3.3973021507263184,0.00917236700115609,0.0,1.0,0,0,0,0,
12,bidirectional,-30.867238932379827,3.3973021507263184,0.007015420000243466,0.0,1.0,0,0,0,0,
12,NNI_FrankWolfe,-30.867238932379827,3.3973021507263184,6.0718379040008585,0.919671586799921,0.080328413200079,12,0,0,0.1902483377850827,"(((((leaf_1,leaf_10),leaf_5),(leaf_4,leaf_11)),(((leaf_2,leaf_6),leaf_8),((leaf_3,leaf_9),leaf_12))),leaf_7);"
