taxa,lp_score,search_seconds,explained_fraction,rmse,oracle_calls,unique_trees_seen,exact_oracle,reported_components,reported_weight_sum
4,-19.95570357062568,0.012815237045288086,0.9898802370036671,0.09179288022527189,12,15,True,5,0.9999999999999999
8,-47.722195143052716,1.3937249183654785,0.9831886903963173,0.09033763260756848,12,5624,False,11,1.0
