source,n,regime,rep,mode,delta,baseline_best,coupled_best,improvement,reference_logL,coupled_minus_reference,coupling_build_s,coupling_solve_s
local_fragment_grid.csv,8,moderate,0,spectral,0.0,-304.12941850511004,-301.421585959387,2.707832545723022,-291.7790510519478,-9.642534907439199,1.6271631717681885,1.0115010738372803
local_fragment_grid.csv,8,moderate,0,spectral,1.0,-310.17384895746767,-301.421585959387,8.752262998080653,-291.7790510519478,-9.642534907439199,1.620943307876587,1.1220664978027344
local_fragment_grid.csv,8,moderate,0,spectral,2.0,-310.17384895746767,-299.9789795186015,10.194869438866192,-291.7790510519478,-8.19992846665366,1.7375426292419434,0.9438884258270264
local_fragment_fast.csv,8,moderate,1,spectral,0.0,-302.6407559918249,-284.81869652255085,17.822059469274052,-282.18239733730286,-2.6362991852479922,1.154026746749878,0.7688462734222412
local_fragment_fast.csv,8,moderate,1,spectral,2.0,-302.6407559918249,-284.81869652255085,17.822059469274052,-282.18239733730286,-2.6362991852479922,1.2117509841918945,0.5011680126190186
local_fragment_fast.csv,8,wide,0,spectral,0.0,-295.6120190586375,-303.0108857505475,-7.39886669191003,-294.9990969723718,-8.011788778175742,2.9131596088409424,1.2587425708770752
local_fragment_fast.csv,8,wide,0,spectral,2.0,-295.6120190586375,-294.9217544170685,0.6902646415690015,-294.9990969723718,0.07734255530328937,3.1753528118133545,1.1558640003204346
local_fragment_12.csv,12,moderate,0,spectral,0.0,-320.30717993501537,-321.46714342150744,-1.1599634864920745,-270.7467920544503,-50.72035136705716,8.940491676330566,8.438106775283813
local_fragment_12.csv,12,moderate,0,spectral,2.0,-320.30717993501537,-305.10778531901184,15.19939461600353,-270.7467920544503,-34.36099326456156,9.3597731590271,5.0490617752075195
local_fragment_two_point.csv,8,moderate,0,two-point,2.0,-313.2878247540923,-303.75936942175343,9.528455332338865,-291.7790510519478,-11.980318369805616,0.11766672134399414,0.8029873371124268
local_fragment_two_point.csv,8,moderate,1,two-point,2.0,-309.7574981514878,-294.9180360334099,14.839462118077904,-282.18239733730286,-12.73563869610706,0.12450075149536133,0.36826610565185547
local_fragment_two_point.csv,8,wide,0,two-point,2.0,0.38277339935302734,0.5313985347747803,0.14862513542175293,20.0,-19.46860146522522,9999,6.160236383973042
