step,parsimony_before,parsimony_after,parsimony_diff,logl_before,logl_after,logl_diff,rf_before,rf_after,rf_diff
114,112535,112469,-66,-453423,-453444,-20.9388,194,194,0
115,112469,112432,-37,-453444,-453453,-8.94738,194,194,0
116,112432,112346,-86,-453453,-453449,3.68058,194,194,0
117,112346,112288,-58,-453449,-453423,26.3127,194,194,0
118,112288,112437,149,-453423,-453927,-503.942,194,194,0
119,112437,112379,-58,-453927,-453745,181.463,194,194,0
120,112379,112472,93,-453745,-454021,-275.226,194,194,0
121,112472,112456,-16,-454021,-453662,358.362,194,194,0
122,112456,112674,218,-453662,-454639,-976.936,194,194,0
123,112674,112554,-120,-454639,-454377,261.881,194,194,0
124,112554,112525,-29,-454377,-454355,21.9402,194,194,0
125,112525,112663,138,-454355,-454100,255.086,194,194,0
126,112663,112748,85,-454100,-454358,-258.143,194,194,0
127,112748,112909,161,-454358,-455509,-1150.77,194,194,0
128,112909,112859,-50,-455509,-453853,1656.51,194,194,0
129,112859,112835,-24,-453853,-453208,644.745,194,194,0
130,112835,112993,158,-453208,-453994,-786.119,194,194,0
131,112993,112958,-35,-453994,-453675,319.253,194,194,0
132,112958,112973,15,-453675,-453329,345.509,194,194,0
133,112973,112992,19,-453329,-453250,78.8427,194,194,0
134,112992,112988,-4,-453250,-453323,-72.7009,194,194,0
135,112988,112981,-7,-453323,-453635,-311.76,194,194,0
136,112981,112907,-74,-453635,-453582,52.5001,194,194,0
137,112907,112883,-24,-453582,-452508,1074.82,194,194,0
138,112883,113344,461,-452508,-453304,-796.854,194,194,0
139,113344,113443,99,-453304,-453672,-367.25,194,194,0
140,113443,113567,124,-453672,-454351,-679.604,194,194,0
141,113567,113615,48,-454351,-454880,-529.042,194,194,0
142,113615,113625,10,-454880,-454932,-52.0335,194,194,0
143,113625,113576,-49,-454932,-454938,-5.26507,194,194,0
144,113576,113572,-4,-454938,-455853,-915.233,194,194,0
145,113572,113842,270,-455853,-456962,-1109.43,194,194,0
146,113842,113859,17,-456962,-457426,-463.791,194,194,0
147,113859,113669,-190,-457426,-456405,1020.91,194,194,0
148,113669,113763,94,-456405,-456288,117.6,194,194,0
149,113763,113878,115,-456288,-456252,35.5377,194,194,0
150,113878,113918,40,-456252,-455294,958.438,194,194,0
151,113918,113935,17,-455294,-455185,108.867,194,194,0
152,113935,113954,19,-455185,-455344,-159.284,194,194,0
153,113954,113734,-220,-455344,-453361,1983.37,194,194,0
154,113734,113762,28,-453361,-453969,-608.038,194,194,0
155,113762,113803,41,-453969,-453423,545.974,194,194,0
157,113803,113777,-26,-453423,-452983,440.099,194,194,0
158,113777,113804,27,-452983,-452815,167.977,194,194,0
159,113804,113971,167,-452815,-453047,-232.236,194,194,0
160,113971,113951,-20,-453047,-453275,-228.11,194,194,0
161,113951,113997,46,-453275,-453370,-94.6042,194,194,0
163,113997,114024,27,-453370,-454005,-634.95,194,194,0
164,114024,113954,-70,-454005,-453680,324.847,194,194,0
165,113954,113857,-97,-453680,-453920,-240.467,194,194,0
166,113857,114020,163,-453920,-454526,-606.172,194,194,0
167,114020,114004,-16,-454526,-453824,702.306,194,194,0
168,114004,114141,137,-453824,-454403,-578.654,194,194,0
169,114141,113976,-165,-454403,-453551,851.91,194,194,0
170,113976,113820,-156,-453551,-453725,-174.197,194,194,0
171,113820,113723,-97,-453725,-453624,101.344,194,194,0
172,113723,113557,-166,-453624,-453242,382.113,194,194,0
173,113557,113444,-113,-453242,-452913,328.558,194,194,0
174,113444,113613,169,-452913,-454456,-1543.42,194,194,0
175,113613,113287,-326,-454456,-452873,1582.93,194,194,0
176,113287,113254,-33,-452873,-451772,1101.56,194,194,0
177,113254,113225,-29,-451772,-452115,-342.919,194,194,0
178,113225,113195,-30,-452115,-452387,-272.607,194,194,0
179,113195,113202,7,-452387,-452373,14.9224,194,194,0
182,113202,113212,10,-452373,-452615,-242.081,194,194,0
183,113212,113393,181,-452615,-453383,-768.547,194,194,0
184,113393,113449,56,-453383,-454142,-758.537,194,194,0
185,113449,113226,-223,-454142,-453498,643.865,194,194,0
187,113226,113109,-117,-453498,-454399,-900.983,194,194,0
188,113109,113134,25,-454399,-455113,-714.109,194,194,0
190,113134,113137,3,-455113,-455426,-313.24,194,194,0
192,113137,113204,67,-455426,-455720,-293.508,194,194,0
193,113204,113233,29,-455720,-455001,719.152,194,194,0
194,113233,113309,76,-455001,-455276,-275.877,194,194,0
195,113309,113372,63,-455276,-456125,-848.856,194,194,0
196,113372,113398,26,-456125,-456641,-515.616,194,194,0
197,113398,113450,52,-456641,-457123,-481.69,194,194,0
198,113450,113515,65,-457123,-457023,99.2865,194,194,0
199,113515,113552,37,-457023,-457380,-356.697,194,194,0
200,113552,113459,-93,-457380,-456333,1047.24,194,194,0
201,113459,113393,-66,-456333,-456121,211.999,194,194,0
202,113393,113389,-4,-456121,-456425,-303.939,194,194,0
203,113389,113388,-1,-456425,-456392,33.0114,194,194,0
204,113388,113347,-41,-456392,-455948,443.496,194,194,0
205,113347,113376,29,-455948,-457488,-1539.94,194,194,0
206,113376,113205,-171,-457488,-457556,-68.2498,194,194,0
207,113205,113210,5,-457556,-458069,-512.789,194,194,0
208,113210,113214,4,-458069,-457907,162.194,194,194,0
209,113214,113225,11,-457907,-458083,-175.601,194,194,0
210,113225,113339,114,-458083,-458096,-13.1272,194,194,0
211,113339,113645,306,-458096,-460495,-2399.59,194,194,0
212,113645,113636,-9,-460495,-462933,-2438.11,194,194,0
213,113636,113522,-114,-462933,-463578,-645.066,194,194,0
214,113522,113629,107,-463578,-463821,-242.396,194,194,0
216,113629,113286,-343,-463821,-462982,838.378,194,194,0
217,113286,113404,118,-462982,-464661,-1678.64,194,194,0
218,113404,113440,36,-464661,-464753,-91.6174,194,194,0
219,113440,113507,67,-464753,-464391,361.216,194,194,0
220,113507,113508,1,-464391,-464226,165.209,194,194,0
221,113508,113491,-17,-464226,-464368,-141.921,194,194,0
222,113491,113273,-218,-464368,-463276,1091.9,194,194,0
223,113273,113252,-21,-463276,-463833,-556.878,194,194,0
224,113252,113309,57,-463833,-463724,109.48,194,194,0
225,113309,113542,233,-463724,-464142,-418.131,194,194,0
226,113542,113512,-30,-464142,-464058,84.1157,194,194,0
227,113512,113482,-30,-464058,-464815,-757.186,194,194,0
228,113482,113725,243,-464815,-463675,1139.53,194,194,0
229,113725,113749,24,-463675,-462514,1161.62,194,194,0
230,113749,113669,-80,-462514,-462568,-54.2063,194,194,0
231,113669,113603,-66,-462568,-462788,-220.334,194,194,0
232,113603,113640,37,-462788,-462662,126.061,194,194,0
233,113640,113693,53,-462662,-463138,-475.832,194,194,0
234,113693,113516,-177,-463138,-463139,-1.14701,194,194,0
235,113516,113637,121,-463139,-463587,-448.283,194,194,0
236,113637,113424,-213,-463587,-463647,-59.5306,194,194,0
237,113424,113389,-35,-463647,-462763,884.17,194,194,0
238,113389,113133,-256,-462763,-461351,1412.06,194,194,0
239,113133,113139,6,-461351,-461239,111.327,194,194,0
240,113139,113305,166,-461239,-460858,381.304,194,194,0
241,113305,113246,-59,-460858,-460805,52.9046,194,194,0
242,113246,112887,-359,-460805,-460143,661.942,194,194,0
243,112887,112616,-271,-460143,-459228,915.651,194,194,0
244,112616,112607,-9,-459228,-459185,42.6546,194,194,0
245,112607,112590,-17,-459185,-459886,-701.424,194,194,0
246,112590,112615,25,-459886,-460142,-255.33,194,194,0
247,112615,112703,88,-460142,-460613,-471.58,194,194,0
248,112703,112430,-273,-460613,-460562,51.1838,194,194,0
249,112430,112449,19,-460562,-460754,-191.793,194,194,0
250,112449,112564,115,-460754,-460782,-28.4592,194,194,0
251,112564,112514,-50,-460782,-461687,-905.035,194,194,0
252,112514,112536,22,-461687,-462035,-347.51,194,194,0
253,112536,112749,213,-462035,-462214,-178.687,194,194,0
254,112749,112938,189,-462214,-463360,-1145.95,194,194,0
256,112938,112499,-439,-463360,-462925,434.54,194,194,0
257,112499,112490,-9,-462925,-463245,-319.587,194,194,0
258,112490,112481,-9,-463245,-463078,166.857,194,194,0
259,112481,112818,337,-463078,-464260,-1182.38,194,194,0
260,112818,112851,33,-464260,-464526,-265.988,194,194,0
261,112851,112825,-26,-464526,-464264,262.096,194,194,0
262,112825,112791,-34,-464264,-464500,-236.255,194,194,0
263,112791,112750,-41,-464500,-464381,119.367,194,194,0
264,112750,113030,280,-464381,-465461,-1079.99,194,194,0
265,113030,113171,141,-465461,-465510,-49.3975,194,194,0
266,113171,113072,-99,-465510,-465265,245.039,194,194,0
267,113072,113055,-17,-465265,-465251,14.0386,194,194,0
268,113055,113178,123,-465251,-465517,-265.746,194,194,0
269,113178,113312,134,-465517,-466074,-557.282,194,194,0
270,113312,113389,77,-466074,-466751,-676.502,194,194,0
271,113389,113403,14,-466751,-466889,-138.552,194,194,0
272,113403,113420,17,-466889,-467671,-781.201,194,194,0
273,113420,113353,-67,-467671,-466822,848.735,194,194,0
274,113353,113384,31,-466822,-467165,-343.485,194,194,0
275,113384,113491,107,-467165,-467113,52.2664,194,194,0
276,113491,113509,18,-467113,-465107,2006.33,194,194,0
277,113509,113430,-79,-465107,-465368,-261.443,194,194,0
278,113430,113563,133,-465368,-465286,81.9838,194,194,0
279,113563,113470,-93,-465286,-465568,-281.662,194,194,0
280,113470,113369,-101,-465568,-465409,158.469,194,194,0
281,113369,113397,28,-465409,-465328,80.9156,194,194,0
282,113397,113530,133,-465328,-466531,-1202.59,194,194,0
283,113530,113823,293,-466531,-467837,-1306.39,194,194,0
284,113823,113654,-169,-467837,-465182,2655.42,194,194,0
285,113654,113266,-388,-465182,-464905,276.9,194,194,0
286,113266,113313,47,-464905,-465351,-445.844,194,194,0
287,113313,113521,208,-465351,-465685,-334.288,194,194,0
288,113521,113398,-123,-465685,-466182,-496.966,194,194,0
289,113398,113828,430,-466182,-467288,-1106.12,194,194,0
290,113828,113758,-70,-467288,-467583,-295.078,194,194,0
291,113758,113602,-156,-467583,-467012,571.342,194,194,0
292,113602,113354,-248,-467012,-466769,242.949,194,194,0
293,113354,113608,254,-466769,-466849,-79.775,194,194,0
294,113608,113702,94,-466849,-467456,-607.443,194,194,0
295,113702,113718,16,-467456,-467608,-151.292,194,194,0
296,113718,113988,270,-467608,-467469,138.428,194,194,0
297,113988,114014,26,-467469,-468162,-693.209,194,194,0
