step,logl_before_a,logl_after_a,logl_diff_a,logl_before_b,logl_after_b,logl_diff_b,logl_before_c,logl_after_c,logl_diff_c,logl_before_d,logl_after_d,logl_diff_d
34,-1.12369e+06,-1.12376e+06,-66.7785,-1.105e+06,-1.10521e+06,-208.834,-1.09603e+06,-1.09708e+06,-1043.33,-1.09599e+06,-1.09702e+06,-1030.12
35,-1.12376e+06,-1.12365e+06,111.637,-1.10521e+06,-1.10508e+06,129.933,-1.09708e+06,-1.09698e+06,97.7533,-1.09702e+06,-1.0969e+06,120.228
36,-1.12365e+06,-1.13164e+06,-7988.81,-1.10508e+06,-1.11314e+06,-8054.76,-1.09698e+06,-1.10246e+06,-5483.09,-1.0969e+06,-1.10206e+06,-5161.95
37,-1.13164e+06,-1.13152e+06,123,-1.11314e+06,-1.11305e+06,83.6303,-1.10246e+06,-1.10219e+06,273.21,-1.10206e+06,-1.10213e+06,-69.6226
38,-1.13152e+06,-1.13449e+06,-2975.85,-1.11305e+06,-1.11487e+06,-1815.21,-1.10219e+06,-1.10471e+06,-2519.13,-1.10213e+06,-1.10469e+06,-2565.47
39,-1.13449e+06,-1.13557e+06,-1074.86,-1.11487e+06,-1.11486e+06,4.57643,-1.10471e+06,-1.10471e+06,-3.05884,-1.10469e+06,-1.10469e+06,-0.871765
40,-1.13557e+06,-1.13669e+06,-1122.86,-1.11486e+06,-1.11513e+06,-263.264,-1.10471e+06,-1.105e+06,-286.402,-1.10469e+06,-1.10492e+06,-228.568
41,-1.13669e+06,-1.13677e+06,-76.9972,-1.11513e+06,-1.11515e+06,-25.2404,-1.105e+06,-1.10498e+06,14.8194,-1.10492e+06,-1.10495e+06,-24.1143
42,-1.13677e+06,-1.13783e+06,-1066.76,-1.11515e+06,-1.11535e+06,-196.306,-1.10498e+06,-1.10488e+06,105.552,-1.10495e+06,-1.10476e+06,186.688
43,-1.13783e+06,-1.1384e+06,-567.904,-1.11535e+06,-1.11554e+06,-189.202,-1.10488e+06,-1.10539e+06,-516.156,-1.10476e+06,-1.10528e+06,-515.403
44,-1.1384e+06,-1.1378e+06,601.69,-1.11554e+06,-1.1152e+06,337.669,-1.10539e+06,-1.10519e+06,205.433,-1.10528e+06,-1.1051e+06,174.239
45,-1.1378e+06,-1.13741e+06,387.445,-1.1152e+06,-1.11501e+06,189.189,-1.10519e+06,-1.10499e+06,199.293,-1.1051e+06,-1.10497e+06,136.063
46,-1.13741e+06,-1.13787e+06,-453.486,-1.11501e+06,-1.11521e+06,-196.314,-1.10499e+06,-1.10539e+06,-400.324,-1.10497e+06,-1.10535e+06,-386.951
47,-1.13787e+06,-1.13899e+06,-1129.05,-1.11521e+06,-1.11525e+06,-43.6947,-1.10539e+06,-1.10542e+06,-34.4175,-1.10535e+06,-1.10536e+06,-6.64118
48,-1.13899e+06,-1.15116e+06,-12169.8,-1.11525e+06,-1.12387e+06,-8621.8,-1.10542e+06,-1.10666e+06,-1236.33,-1.10536e+06,-1.10534e+06,19.122
49,-1.15116e+06,-1.15172e+06,-559.686,-1.12387e+06,-1.12425e+06,-374.41,-1.10666e+06,-1.10581e+06,845.988,-1.10534e+06,-1.10573e+06,-388.166
50,-1.15172e+06,-1.1596e+06,-7872.98,-1.12425e+06,-1.1322e+06,-7957.1,-1.10581e+06,-1.10913e+06,-3320.02,-1.10573e+06,-1.10682e+06,-1086.53
51,-1.1596e+06,-1.1599e+06,-300.425,-1.1322e+06,-1.13255e+06,-341.297,-1.10913e+06,-1.10749e+06,1638.39,-1.10682e+06,-1.10735e+06,-533.237
52,-1.1599e+06,-1.15809e+06,1808.35,-1.13255e+06,-1.13146e+06,1088.12,-1.10749e+06,-1.10641e+06,1084.25,-1.10735e+06,-1.10627e+06,1077.15
53,-1.15809e+06,-1.15923e+06,-1140.69,-1.13146e+06,-1.13178e+06,-321.464,-1.10641e+06,-1.10666e+06,-245.071,-1.10627e+06,-1.10657e+06,-298.476
54,-1.15923e+06,-1.16069e+06,-1460.49,-1.13178e+06,-1.13265e+06,-870.807,-1.10666e+06,-1.10911e+06,-2453.95,-1.10657e+06,-1.10733e+06,-763.826
55,-1.16069e+06,-1.16085e+06,-160.113,-1.13265e+06,-1.13263e+06,17.4133,-1.10911e+06,-1.10753e+06,1580.52,-1.10733e+06,-1.10706e+06,270.049
56,-1.16085e+06,-1.16089e+06,-40.9894,-1.13263e+06,-1.13272e+06,-85.8726,-1.10753e+06,-1.10771e+06,-184.499,-1.10706e+06,-1.10704e+06,19.0712
57,-1.16089e+06,-1.16075e+06,139.198,-1.13272e+06,-1.1327e+06,18.9137,-1.10771e+06,-1.10747e+06,243.956,-1.10704e+06,-1.10705e+06,-3.96284
58,-1.16075e+06,-1.16224e+06,-1484.97,-1.1327e+06,-1.1329e+06,-196.907,-1.10747e+06,-1.10751e+06,-44.3152,-1.10705e+06,-1.10711e+06,-61.4373
59,-1.16224e+06,-1.16168e+06,552.574,-1.1329e+06,-1.13178e+06,1118.75,-1.10751e+06,-1.1074e+06,111.601,-1.10711e+06,-1.10699e+06,115.327
60,-1.16168e+06,-1.16784e+06,-6156.31,-1.13178e+06,-1.13345e+06,-1672.97,-1.1074e+06,-1.10747e+06,-69.8649,-1.10699e+06,-1.10711e+06,-116.584
61,-1.16784e+06,-1.16881e+06,-973.435,-1.13345e+06,-1.12893e+06,4523.3,-1.10747e+06,-1.10723e+06,242.422,-1.10711e+06,-1.10691e+06,197.149
62,-1.16881e+06,-1.16881e+06,7.05324,-1.12893e+06,-1.12493e+06,4002.4,-1.10723e+06,-1.10767e+06,-445.012,-1.10691e+06,-1.10691e+06,-0.000788115
63,-1.16881e+06,-1.16874e+06,64.5886,-1.12493e+06,-1.12489e+06,39.7348,-1.10767e+06,-1.1075e+06,179.176,-1.10691e+06,-1.10692e+06,-3.25878
64,-1.16874e+06,-1.168e+06,746.016,-1.12489e+06,-1.12472e+06,162.949,-1.1075e+06,-1.10713e+06,363.32,-1.10692e+06,-1.10655e+06,362.954
65,-1.168e+06,-1.168e+06,0,-1.12472e+06,-1.12423e+06,493.592,-1.10713e+06,-1.10629e+06,846.482,-1.10655e+06,-1.10558e+06,977.596
66,-1.168e+06,-1.16962e+06,-1620.84,-1.12423e+06,-1.12433e+06,-99.1385,-1.10629e+06,-1.10608e+06,204.824,-1.10558e+06,-1.10563e+06,-55.1509
67,-1.16962e+06,-1.1696e+06,18.0819,-1.12433e+06,-1.12389e+06,441.403,-1.10608e+06,-1.10598e+06,104.459,-1.10563e+06,-1.10564e+06,-5.0616
