parent_unit,parent_port,child_unit,option_index,edge_flow,parent_upper_flow,child_upper_flow,connection_kind,router_count,router_stage,switch_id,switch_state
S_m0002_a0001_j0011,left,R_m0001_L001_W00022,0,1,2,1,compact_benes_enter,1,0,R1_S0_P22,straight
S_m0002_a0001_j0011,left,R_m0001_L001_W00023,1,1,2,1,compact_benes_enter,1,0,R1_S0_P22,cross
S_m0002_a0001_j0011,right,R_m0001_L001_W00023,0,1,2,1,compact_benes_enter,1,0,R1_S0_P22,straight
S_m0002_a0001_j0011,right,R_m0001_L001_W00022,1,1,2,1,compact_benes_enter,1,0,R1_S0_P22,cross
S_m0002_a0001_j0012,left,R_m0001_L001_W00024,0,1,2,1,compact_benes_enter,1,0,R1_S0_P24,straight
S_m0002_a0001_j0012,left,R_m0001_L001_W00025,1,1,2,1,compact_benes_enter,1,0,R1_S0_P24,cross
S_m0002_a0001_j0012,right,R_m0001_L001_W00025,0,1,2,1,compact_benes_enter,1,0,R1_S0_P24,straight
S_m0002_a0001_j0012,right,R_m0001_L001_W00024,1,1,2,1,compact_benes_enter,1,0,R1_S0_P24,cross
S_m0002_a0001_j0013,left,R_m0001_L001_W00026,0,1,2,1,compact_benes_enter,1,0,R1_S0_P26,straight
S_m0002_a0001_j0013,left,R_m0001_L001_W00027,1,1,2,1,compact_benes_enter,1,0,R1_S0_P26,cross
S_m0002_a0001_j0013,right,R_m0001_L001_W00027,0,1,2,1,compact_benes_enter,1,0,R1_S0_P26,straight
S_m0002_a0001_j0013,right,R_m0001_L001_W00026,1,1,2,1,compact_benes_enter,1,0,R1_S0_P26,cross
S_m0002_a0001_j0014,left,R_m0001_L001_W00028,0,1,2,1,compact_benes_enter,1,0,R1_S0_P28,straight
S_m0002_a0001_j0014,left,R_m0001_L001_W00029,1,1,2,1,compact_benes_enter,1,0,R1_S0_P28,cross
S_m0002_a0001_j0014,right,R_m0001_L001_W00029,0,1,2,1,compact_benes_enter,1,0,R1_S0_P28,straight
S_m0002_a0001_j0014,right,R_m0001_L001_W00028,1,1,2,1,compact_benes_enter,1,0,R1_S0_P28,cross
S_m0003_a0001_j0000,left,R_m0001_L001_W00030,0,1,3,1,compact_benes_enter,1,0,R1_S0_P30,straight
S_m0003_a0001_j0000,left,R_m0001_L001_W00031,1,1,3,1,compact_benes_enter,1,0,R1_S0_P30,cross
S_m0003_a0001_j0001,left,R_m0001_L001_W00031,0,1,3,1,compact_benes_enter,1,0,R1_S0_P30,straight
S_m0003_a0001_j0001,left,R_m0001_L001_W00030,1,1,3,1,compact_benes_enter,1,0,R1_S0_P30,cross
S_m0003_a0001_j0002,left,R_m0001_L001_W00032,0,1,3,1,compact_benes_enter,1,0,R1_S0_P32,straight
S_m0003_a0001_j0002,left,R_m0001_L001_W00033,1,1,3,1,compact_benes_enter,1,0,R1_S0_P32,cross
S_m0003_a0001_j0003,left,R_m0001_L001_W00033,0,1,3,1,compact_benes_enter,1,0,R1_S0_P32,straight
S_m0003_a0001_j0003,left,R_m0001_L001_W00032,1,1,3,1,compact_benes_enter,1,0,R1_S0_P32,cross
S_m0003_a0001_j0004,left,R_m0001_L001_W00034,0,1,3,1,compact_benes_enter,1,0,R1_S0_P34,straight
S_m0003_a0001_j0004,left,R_m0001_L001_W00035,1,1,3,1,compact_benes_enter,1,0,R1_S0_P34,cross
S_m0003_a0001_j0005,left,R_m0001_L001_W00035,0,1,3,1,compact_benes_enter,1,0,R1_S0_P34,straight
S_m0003_a0001_j0005,left,R_m0001_L001_W00034,1,1,3,1,compact_benes_enter,1,0,R1_S0_P34,cross
S_m0003_a0001_j0006,left,R_m0001_L001_W00036,0,1,3,1,compact_benes_enter,1,0,R1_S0_P36,straight
S_m0003_a0001_j0006,left,R_m0001_L001_W00037,1,1,3,1,compact_benes_enter,1,0,R1_S0_P36,cross
S_m0003_a0001_j0007,left,R_m0001_L001_W00037,0,1,3,1,compact_benes_enter,1,0,R1_S0_P36,straight
S_m0003_a0001_j0007,left,R_m0001_L001_W00036,1,1,3,1,compact_benes_enter,1,0,R1_S0_P36,cross
S_m0003_a0001_j0008,left,R_m0001_L001_W00038,0,1,3,1,compact_benes_enter,1,0,R1_S0_P38,straight
S_m0003_a0001_j0008,left,R_m0001_L001_W00039,1,1,3,1,compact_benes_enter,1,0,R1_S0_P38,cross
S_m0003_a0001_j0009,left,R_m0001_L001_W00039,0,1,3,1,compact_benes_enter,1,0,R1_S0_P38,straight
S_m0003_a0001_j0009,left,R_m0001_L001_W00038,1,1,3,1,compact_benes_enter,1,0,R1_S0_P38,cross
S_m0004_a0001_j0000,left,R_m0001_L001_W00040,0,1,4,1,compact_benes_enter,1,0,R1_S0_P40,straight
S_m0004_a0001_j0000,left,R_m0001_L001_W00041,1,1,4,1,compact_benes_enter,1,0,R1_S0_P40,cross
S_m0004_a0001_j0001,left,R_m0001_L001_W00041,0,1,4,1,compact_benes_enter,1,0,R1_S0_P40,straight
S_m0004_a0001_j0001,left,R_m0001_L001_W00040,1,1,4,1,compact_benes_enter,1,0,R1_S0_P40,cross
S_m0004_a0001_j0002,left,R_m0001_L001_W00042,0,1,4,1,compact_benes_enter,1,0,R1_S0_P42,straight
S_m0004_a0001_j0002,left,R_m0001_L001_W00043,1,1,4,1,compact_benes_enter,1,0,R1_S0_P42,cross
S_m0004_a0001_j0003,left,R_m0001_L001_W00043,0,1,4,1,compact_benes_enter,1,0,R1_S0_P42,straight
S_m0004_a0001_j0003,left,R_m0001_L001_W00042,1,1,4,1,compact_benes_enter,1,0,R1_S0_P42,cross
S_m0004_a0001_j0004,left,R_m0001_L001_W00044,0,1,4,1,compact_benes_enter,1,0,R1_S0_P44,straight
